ticker,profile_number,profile_name_full,name,exchange,notes
AZEM,000102000,Arizona Eagle Mining Corp. (formerly Core Nickel Corp.),Arizona Eagle Mining Corp.,TSXV,verified from SEDAR+ search 2026-05-05
CIA,,,Champion Iron Limited,TSX,
CS,,,Capstone Copper Corp.,TSX,
DPM,,,DPM Metals Inc.,TSX,
DSV,,,Discovery Silver Corp.,TSX,
EDV,,,Endeavour Mining plc,TSX,
EFR,,,Energy Fuels Inc.,TSX,
ERO,,,Ero Copper Corp.,TSX,
ETG,,,Entree Resources Ltd.,TSX,
EXN,,,Excellon Resources Inc.,TSX,
FM,,,First Quantum Minerals Ltd.,TSX,
FOR,,,Fortune Bay Corp.,TSXV,
GC,,,Goldcana Resources Inc.,OTHER,
GMIN,,,G Mining Ventures Corp.,TSX,
GPAC,,,Great Pacific Gold Corp.,TSXV,
HBM,,,Hudbay Minerals Inc.,TSX,
ICG,,,ICG Silver & Gold Ltd.,OTHER,
IE,,,Ivanhoe Electric Inc.,TSX,
III,,,Imperial Metals Corporation,TSX,
IPT,,,IMPACT Silver Corp.,TSXV,
IVN,,,Ivanhoe Mines Ltd.,TSX,
KNT,,,K92 Mining Inc.,TSX,
KTO,,,K2 Gold Corporation,TSXV,
LGC,,,Lavras Gold Corp.,TSXV,
LIBR,,,Libra Energy Materials Inc.,OTHER,
LUN,,,Lundin Mining Corporation,TSX,
LUNR,,,LunR Royalties Corp.,TSXV,
MAU,,,Montage Gold Corp.,TSX,
MJS,,,Majestic Gold Corp.,TSXV,
MM,,,Maximus Metals Inc.,OTHER,
MND,,,Mandalay Resources Corporation,TSX,
MSM,,,Metalsource Mining Inc.,OTHER,
NAM,,,New Age Metals Inc.,TSXV,
NDM,,,Northern Dynasty Minerals Ltd.,TSX,
NG,,,NovaGold Resources Inc.,TSX,
NGEX,,,NGEx Minerals Ltd.,TSX,
NGLD,,,Nevada Canyon Gold Corp.,OTC,
NTR,,,Nutrien Ltd.,TSX,
NUCA,,,Americas Uranium Corp.,OTHER,
NXE,,,NexGen Energy Ltd.,TSX,
OLA,,,Orla Mining Ltd.,TSX,
ORA,,,Aura Minerals Inc.,TSX,
OROG,,,Gold Orogen Resources Corp.,OTHER,
PDN,,,Paladin Energy Ltd.,TSX,
PEX,,,Pacific Ridge Exploration Ltd.,TSXV,
PPTA,,,Perpetua Resources Corp.,TSX,
PRU,,,Perseus Mining Limited,TSX,
RDG,,,Ridgeline Minerals Corp.,TSXV,
RK,,,Rockhaven Resources Ltd.,TSXV,
RML,,,Rusoro Mining Ltd.,TSXV,
SBI,,,Serabi Gold plc,TSXV,
